,x,y,0728_pred_0.5_16,0728_pred_0.5_17,0728_pred_0.5_18,0728_pred_0.5_19,0728_pred_0.5_20,0728_pred_1_16,0728_pred_1_17,0728_pred_1_18,0728_pred_1_19,0728_pred_1_20
cell_9038,9160.10132799709,-863.628524649808,11,0,2,0,0,2,0,11,0,7
cell_7182,3875.10132799709,-901.628524649808,0,11,10,9,10,3,12,2,2,0
cell_9286,9928.10132799709,-998.628524649808,0,11,10,9,10,2,2,1,1,7
cell_2185,-10944.8986720029,-901.628524649808,11,0,2,0,0,1,0,11,10,0
cell_4842,-2715.89867200291,-898.628524649808,1,0,2,10,9,0,1,0,0,8
cell_4974,-2344.89867200291,-961.628524649808,6,6,4,7,7,11,2,1,1,0
cell_10596,13245.1013279971,-1064.62852464981,6,6,4,7,7,11,10,10,13,14
cell_6527,1830.10132799709,-957.628524649808,3,13,13,5,15,8,3,4,4,13
cell_377,-15582.8986720029,-986.628524649808,12,0,11,0,11,0,1,0,0,7
cell_1511,-12800.8986720029,-874.628524649808,1,9,12,8,0,1,0,9,9,1
cell_6053,551.10132799709,-934.628524649808,12,11,10,13,11,2,2,1,1,0
cell_9992,11699.1013279971,-996.628524649808,6,14,14,14,12,3,9,2,13,14
cell_3812,-6006.89867200291,-929.628524649808,7,4,6,7,7,5,6,5,5,6
cell_3316,-7602.89867200291,-965.628524649808,11,0,2,0,0,1,0,11,0,7
cell_7125,3680.10132799709,-964.628524649808,12,11,10,9,10,2,12,1,1,0
cell_1125,-13732.8986720029,-955.628524649808,1,10,9,10,9,0,1,0,0,7
cell_2022,-11408.8986720029,-944.628524649808,1,10,9,8,0,1,0,11,10,1
cell_3929,-5643.89867200291,-980.628524649808,0,11,10,9,10,2,2,1,1,0
cell_6019,405.10132799709,-915.628524649808,0,14,14,14,12,3,9,2,2,14
cell_8588,7945.10132799709,-951.628524649808,6,6,4,7,7,11,10,10,2,14
cell_9472,10391.1013279971,-1001.62852464981,12,12,11,13,11,10,5,4,4,12
cell_8825,8653.10132799709,-952.628524649808,6,12,11,13,11,2,2,1,1,0
cell_4206,-4839.89867200291,-1022.62852464981,3,1,0,11,13,10,5,4,4,12
cell_9566,10597.1013279971,-1033.62852464981,3,7,13,5,6,8,3,3,3,13
cell_11137,14488.1013279971,-1020.62852464981,6,14,14,14,12,3,9,2,13,14
cell_9669,10914.1013279971,-983.628524649808,4,7,7,5,6,8,3,3,3,11
cell_2877,-8874.89867200291,-991.628524649808,10,9,12,10,9,1,1,0,0,8
cell_11214,14634.1013279971,-1000.62852464981,6,14,14,14,12,3,9,2,13,14
cell_6004,339.10132799709,-955.628524649808,0,14,14,14,12,3,9,2,2,14
cell_8579,7876.10132799709,-933.628524649808,6,12,11,13,11,11,10,10,1,14
cell_7847,5876.10132799709,-1076.62852464981,6,14,14,14,12,3,9,2,13,14
cell_1991,-11533.8986720029,-1063.62852464981,1,0,2,0,0,1,1,0,0,7
cell_3544,-6953.89867200291,-917.628524649808,7,4,0,12,14,5,6,5,5,6
cell_7705,5315.10132799709,-1013.62852464981,12,0,2,13,11,2,2,1,1,7
cell_9085,9289.10132799709,-1013.62852464981,14,11,10,17,17,2,2,1,1,0
cell_5555,-762.89867200291,-1017.62852464981,1,0,2,0,0,0,1,0,0,8
cell_2962,-8630.89867200291,-1056.62852464981,9,8,8,0,9,1,0,0,0,8
cell_7777,5523.10132799709,-1107.62852464981,3,13,13,11,15,10,5,4,4,13
cell_11343,14841.1013279971,-966.628524649808,1,11,10,9,10,2,12,1,1,0
cell_2149,-11076.8986720029,-1052.62852464981,11,8,8,6,5,2,2,1,1,0
cell_3465,-7145.89867200291,-1020.62852464981,9,8,8,6,5,5,6,5,5,6
cell_1879,-11836.8986720029,-1001.62852464981,1,0,2,0,0,1,0,11,10,1
cell_8778,8477.10132799709,-977.628524649808,12,0,2,0,11,2,2,1,1,0
cell_11040,14129.1013279971,-908.628524649808,6,14,14,14,12,11,9,2,13,14
cell_6197,935.10132799709,-1085.62852464981,6,14,14,14,12,3,9,2,2,14
cell_5923,230.10132799709,-1040.62852464981,0,14,10,14,12,2,12,1,1,17
cell_8826,8727.10132799709,-1103.62852464981,12,11,10,9,10,2,2,1,1,0
cell_5301,-1453.89867200291,-995.628524649808,1,11,10,9,10,0,12,0,0,0
cell_6647,2191.10132799709,-1089.62852464981,0,14,14,14,12,3,9,2,2,14
cell_7643,5135.10132799709,-1086.62852464981,12,12,11,13,11,2,2,1,1,7
cell_11615,15536.1013279971,-1061.62852464981,12,11,10,9,10,0,12,0,1,0
cell_10976,14036.1013279971,-1066.62852464981,12,11,10,9,10,3,9,2,1,14
cell_5239,-1616.89867200291,-1071.62852464981,12,0,2,13,11,2,1,0,0,0
cell_206,-15904.8986720029,-1167.62852464981,1,10,9,0,0,0,1,0,0,7
cell_1230,-13581.8986720029,-968.628524649808,9,10,9,10,9,0,1,0,0,8
cell_6931,3113.10132799709,-1050.62852464981,0,14,14,14,12,3,9,2,2,14
cell_5753,-175.89867200291,-1087.62852464981,6,12,11,13,11,2,2,1,1,0
cell_3102,-8180.89867200291,-1077.62852464981,1,0,2,0,0,1,0,0,0,8
cell_8249,6978.10132799709,-1080.62852464981,1,11,10,9,10,2,12,1,1,0
cell_4841,-2720.89867200291,-1007.62852464981,12,0,2,0,0,0,1,0,0,8
cell_8689,8288.10132799709,-1146.62852464981,0,14,14,14,12,3,9,2,2,14
cell_4291,-4606.89867200291,-1012.62852464981,12,0,2,0,0,2,2,1,1,7
cell_9665,11014.1013279971,-1159.62852464981,4,7,7,5,6,8,3,3,3,11
cell_1012,-13963.8986720029,-1059.62852464981,1,0,2,0,0,1,0,11,10,1
cell_9856,11364.1013279971,-1137.62852464981,12,14,14,14,12,2,2,2,1,14
cell_3584,-6685.89867200291,-1114.62852464981,7,4,6,7,7,5,6,5,5,6
cell_289,-15772.8986720029,-1046.62852464981,12,12,11,13,11,0,1,0,0,7
cell_3489,-6978.89867200291,-1170.62852464981,7,4,6,7,7,5,6,5,5,6
cell_6484,1579.10132799709,-1068.62852464981,1,0,2,0,0,2,2,1,1,7
cell_3168,-8003.89867200291,-1111.62852464981,10,9,12,8,0,1,0,11,10,7
cell_6898,2995.10132799709,-1170.62852464981,1,0,2,9,0,2,12,1,1,0
cell_5587,-661.89867200291,-1196.62852464981,9,0,2,0,0,0,1,0,0,8
cell_1191,-13657.8986720029,-1061.62852464981,9,10,9,10,9,0,1,0,0,7
cell_1238,-13545.8986720029,-1038.62852464981,9,10,9,10,9,0,1,0,0,8
cell_2254,-10718.8986720029,-1142.62852464981,10,9,12,8,9,1,0,11,0,1
cell_10081,11911.1013279971,-1158.62852464981,6,14,14,14,12,3,9,2,13,14
cell_3848,-5947.89867200291,-1063.62852464981,12,11,10,9,10,2,2,1,1,0
cell_5299,-1428.89867200291,-1142.62852464981,1,0,2,0,0,0,1,0,0,7
cell_10325,12463.1013279971,-1072.62852464981,1,0,2,0,0,0,1,0,1,7
cell_10180,12135.1013279971,-1140.62852464981,12,11,10,9,10,3,2,1,1,14
cell_1781,-12044.8986720029,-1147.62852464981,12,8,8,6,5,2,2,1,1,0
cell_990,-14070.8986720029,-1151.62852464981,1,0,9,0,0,1,0,0,0,1
cell_243,-15886.8986720029,-1103.62852464981,1,10,9,0,0,0,1,0,0,7
cell_1376,-13150.8986720029,-1139.62852464981,11,8,8,8,5,1,0,11,9,1
cell_7196,3892.10132799709,-1138.62852464981,1,0,2,0,0,0,1,0,0,8
cell_9617,10745.1013279971,-1127.62852464981,1,1,0,11,13,10,5,4,4,12
cell_11422,15078.1013279971,-1141.62852464981,12,11,10,9,10,15,2,15,15,0
cell_10397,12649.1013279971,-1182.62852464981,12,1,0,11,13,10,5,4,4,12
cell_500,-15361.8986720029,-1085.62852464981,1,0,2,0,0,0,1,0,0,7
cell_11561,15355.1013279971,-1154.62852464981,1,0,2,0,0,0,12,0,15,0
cell_8631,8083.10132799709,-1124.62852464981,12,11,14,14,12,3,9,2,2,14
cell_4830,-2788.89867200291,-1169.62852464981,1,0,2,0,0,0,1,0,0,8
cell_5998,372.10132799709,-1105.62852464981,1,11,2,9,10,0,12,0,0,0
cell_9207,9722.10132799709,-1115.62852464981,1,1,0,0,0,10,5,4,4,12
cell_3784,-6076.89867200291,-1228.62852464981,12,11,10,9,10,2,2,1,1,0
cell_11347,14868.1013279971,-1151.62852464981,1,0,2,0,0,0,1,0,1,7
cell_10646,13390.1013279971,-1044.62852464981,6,6,4,7,7,11,10,10,13,0
cell_506,-15269.8986720029,-1200.62852464981,1,0,12,0,0,1,0,11,0,1
cell_9905,11531.1013279971,-1210.62852464981,3,1,0,11,13,10,5,4,1,12
cell_8779,8499.10132799709,-1149.62852464981,1,11,10,9,10,2,12,1,1,0
cell_2337,-10547.8986720029,-1215.62852464981,1,0,2,0,9,1,0,0,0,7
cell_1875,-11823.8986720029,-1162.62852464981,11,0,2,0,0,1,0,11,10,3
cell_6528,1790.10132799709,-1147.62852464981,13,1,0,11,13,10,5,4,4,12
cell_8425,7482.10132799709,-1207.62852464981,12,12,11,13,11,2,2,1,1,0
cell_3425,-7230.89867200291,-1245.62852464981,7,4,6,7,7,5,6,5,5,6
cell_7493,4707.10132799709,-1244.62852464981,12,12,11,13,11,2,2,1,1,0
cell_9192,9668.10132799709,-1212.62852464981,1,0,2,0,0,0,1,0,0,7
cell_4781,-2943.89867200291,-1237.62852464981,1,0,2,0,0,0,1,0,0,8
cell_5001,-2264.89867200291,-1264.62852464981,4,7,7,5,6,8,3,3,3,11
cell_8486,7687.10132799709,-1208.62852464981,3,13,13,5,15,10,5,4,4,13
cell_7418,4489.10132799709,-1243.62852464981,12,12,11,13,11,2,2,1,1,0
cell_9446,10315.1013279971,-1161.62852464981,13,1,0,11,13,10,5,4,4,12
cell_7747,5434.10132799709,-1243.62852464981,1,0,2,11,13,10,5,4,4,12
cell_10306,12485.1013279971,-1247.62852464981,12,1,0,11,13,10,5,4,4,12
cell_5919,153.10132799709,-1257.62852464981,1,11,2,9,10,0,12,0,0,0
cell_6388,1442.10132799709,-1302.62852464981,6,6,4,7,7,11,10,10,13,14
cell_364,-15452.8986720029,-1257.62852464981,9,0,2,0,10,1,1,0,0,7
cell_1911,-11719.8986720029,-1237.62852464981,11,8,8,6,5,1,0,11,10,3
cell_11245,14725.1013279971,-1276.62852464981,12,11,10,9,10,0,12,0,1,0
cell_4035,-5227.89867200291,-1322.62852464981,3,13,13,11,15,10,5,4,4,14
cell_4242,-4726.89867200291,-1272.62852464981,1,0,2,0,0,0,1,0,0,7
cell_10670,13418.1013279971,-1291.62852464981,12,12,11,13,7,2,2,1,1,0
cell_7238,3975.10132799709,-1310.62852464981,1,11,10,0,0,0,12,0,0,8
cell_7596,5024.10132799709,-1281.62852464981,12,11,10,9,10,2,2,1,1,0
cell_11234,14588.1013279971,-1198.62852464981,12,11,10,9,10,0,12,0,1,0
cell_3913,-5672.89867200291,-1325.62852464981,3,13,13,11,15,10,10,10,4,13
cell_7269,4130.10132799709,-1380.62852464981,0,14,14,14,12,3,9,0,1,17
cell_10216,12228.1013279971,-1316.62852464981,12,14,10,9,10,3,9,2,13,14
cell_5955,305.10132799709,-1232.62852464981,9,0,2,0,0,0,1,0,0,7
cell_4409,-4164.89867200291,-1296.62852464981,0,14,14,14,12,3,9,2,2,14
cell_6228,1030.10132799709,-1184.62852464981,0,11,10,9,10,3,2,2,2,14
cell_11484,15210.1013279971,-1333.62852464981,6,14,14,14,12,15,9,15,13,14
cell_4459,-3918.89867200291,-1318.62852464981,6,12,11,13,7,2,2,1,1,0
cell_1021,-13990.8986720029,-1307.62852464981,1,0,2,0,0,1,0,0,0,7
cell_6517,1810.10132799709,-1328.62852464981,4,7,7,5,6,8,3,3,3,13
cell_8788,8600.10132799709,-1258.62852464981,0,14,14,14,12,3,9,2,2,14
cell_5744,-235.89867200291,-1294.62852464981,12,12,2,13,11,2,2,1,1,0
cell_900,-14256.8986720029,-1346.62852464981,4,7,7,15,6,10,5,4,4,13
cell_11255,14652.1013279971,-1234.62852464981,12,11,10,9,10,0,12,0,1,0
cell_8368,7382.10132799709,-1391.62852464981,12,0,11,0,11,2,1,1,1,7
cell_7175,3789.10132799709,-1322.62852464981,1,0,2,0,0,0,1,0,0,8
cell_11633,15541.1013279971,-1356.62852464981,1,0,2,0,0,0,12,0,1,0
cell_7939,5986.10132799709,-1296.62852464981,1,11,10,9,10,2,2,1,1,17
cell_11557,15367.1013279971,-1307.62852464981,12,11,10,9,10,15,12,0,15,0
cell_335,-15660.8986720029,-1373.62852464981,1,0,2,0,0,0,1,0,0,7
cell_10164,12056.1013279971,-1295.62852464981,12,11,10,9,12,3,9,2,13,14
cell_9442,10366.1013279971,-1350.62852464981,1,0,2,0,0,2,1,0,0,7
cell_3271,-7713.89867200291,-1366.62852464981,7,12,11,13,11,5,6,5,5,3
cell_9930,11619.1013279971,-1395.62852464981,12,11,10,9,10,3,9,1,15,17
cell_6231,1010.10132799709,-1339.62852464981,1,11,10,9,10,2,12,1,1,0
cell_6104,793.10132799709,-1371.62852464981,12,11,10,9,12,2,12,1,1,0
cell_7825,5685.10132799709,-1362.62852464981,0,14,14,14,12,3,9,2,2,14
cell_10610,13213.1013279971,-1390.62852464981,6,6,11,7,7,11,10,10,1,14
cell_11156,14503.1013279971,-1354.62852464981,12,11,10,9,10,0,12,0,1,0
cell_9635,10829.1013279971,-1354.62852464981,12,0,2,13,11,0,1,0,0,7
cell_2133,-11135.8986720029,-1349.62852464981,1,0,2,0,9,0,1,0,0,8
cell_8244,6993.10132799709,-1455.62852464981,6,6,11,7,7,3,9,10,2,14
cell_3956,-5478.89867200291,-1428.62852464981,1,0,2,0,0,2,2,1,1,0
cell_9256,9783.10132799709,-1330.62852464981,12,0,2,0,11,0,1,0,0,7
cell_9708,10983.1013279971,-1317.62852464981,1,1,0,12,14,9,11,12,18,9
cell_4636,-3426.89867200291,-1404.62852464981,0,11,10,9,10,2,2,1,1,0
cell_8775,8521.10132799709,-1378.62852464981,0,14,14,14,12,3,9,2,2,14
cell_11034,14212.1013279971,-1353.62852464981,12,11,10,9,10,3,2,2,1,14
cell_3141,-8021.89867200291,-1393.62852464981,7,4,6,6,5,5,6,5,5,6
cell_1867,-11864.8986720029,-1431.62852464981,1,0,2,0,0,1,0,0,0,7
cell_215,-15922.8986720029,-1367.62852464981,1,0,2,0,0,0,1,0,0,7
cell_3218,-7876.89867200291,-1432.62852464981,7,4,6,6,5,5,6,5,5,6
cell_1206,-13529.8986720029,-1460.62852464981,14,15,16,17,17,14,15,4,4,12
cell_10958,14088.1013279971,-1504.62852464981,6,14,14,14,12,3,9,2,13,14
cell_9755,11160.1013279971,-1393.62852464981,13,1,0,12,14,10,5,4,11,9
cell_8603,8052.10132799709,-1407.62852464981,0,14,14,14,12,3,9,2,13,14
cell_10337,12478.1013279971,-1330.62852464981,12,1,0,11,13,10,5,4,4,12
cell_7927,5962.10132799709,-1433.62852464981,1,0,2,0,0,2,12,0,0,0
cell_10834,13724.1013279971,-1444.62852464981,0,11,10,9,10,3,2,1,1,0
cell_11330,14878.1013279971,-1445.62852464981,12,11,2,9,10,2,12,1,1,0
cell_7984,6099.10132799709,-1391.62852464981,1,0,2,0,0,0,1,0,0,7
cell_10107,11943.1013279971,-1382.62852464981,0,14,14,14,12,3,9,2,13,14
cell_2146,-11000.8986720029,-1569.62852464981,9,8,8,10,9,0,1,0,0,8
cell_11097,14398.1013279971,-1454.62852464981,12,11,10,9,12,2,12,1,15,17
cell_3037,-8318.89867200291,-1519.62852464981,7,4,6,6,11,5,6,5,5,8
cell_10375,12577.1013279971,-1420.62852464981,4,7,7,15,6,8,3,3,11,11
cell_8141,6685.10132799709,-1458.62852464981,0,14,14,14,12,3,9,2,2,14
cell_10527,12912.1013279971,-1383.62852464981,12,12,11,13,11,2,2,1,1,0
cell_6413,1554.10132799709,-1491.62852464981,0,14,14,14,12,3,9,2,2,14
cell_7426,4530.10132799709,-1411.62852464981,3,1,0,11,13,10,5,4,4,12
cell_8881,8885.10132799709,-1497.62852464981,3,13,13,11,6,10,5,4,4,12
cell_10603,13086.1013279971,-1406.62852464981,12,12,11,13,11,2,2,1,1,0
cell_9310,9969.10132799709,-1480.62852464981,1,1,0,12,13,10,5,0,0,7
cell_6356,1321.10132799709,-1486.62852464981,12,11,10,9,10,2,2,1,1,0
cell_11263,14722.1013279971,-1475.62852464981,12,11,10,9,10,0,12,0,1,0
cell_10432,12700.1013279971,-1494.62852464981,4,1,0,15,19,9,11,12,11,9
cell_7613,5057.10132799709,-1395.62852464981,12,0,2,0,11,0,12,0,0,7
cell_7477,4641.10132799709,-1447.62852464981,12,11,10,9,10,10,5,1,1,17
cell_10499,12949.1013279971,-1534.62852464981,6,12,11,7,7,11,2,10,1,0
cell_3766,-6167.89867200291,-1473.62852464981,1,0,2,0,0,0,1,0,0,8
cell_5966,285.10132799709,-1404.62852464981,1,0,2,9,10,0,12,0,0,0
cell_11268,14664.1013279971,-1420.62852464981,12,11,10,9,10,0,12,0,1,0
cell_1461,-12932.8986720029,-1559.62852464981,13,1,0,12,14,1,0,12,11,9
cell_8492,7663.10132799709,-1537.62852464981,1,0,2,0,0,0,1,0,0,7
cell_3110,-8137.89867200291,-1514.62852464981,7,4,6,6,5,5,6,5,5,6
cell_4246,-4691.89867200291,-1523.62852464981,12,12,11,13,11,2,2,1,1,0
cell_10671,13383.1013279971,-1528.62852464981,0,14,14,14,12,3,9,2,2,14
cell_197,-15948.8986720029,-1506.62852464981,1,0,9,0,0,0,1,0,0,7
cell_2974,-8561.89867200291,-1587.62852464981,7,4,6,6,11,5,6,5,5,3
cell_1069,-13783.8986720029,-1621.62852464981,6,6,4,7,7,11,10,10,7,3
cell_1737,-12195.8986720029,-1538.62852464981,4,7,7,5,6,8,3,3,3,11
cell_8822,8614.10132799709,-1544.62852464981,12,0,2,9,10,2,2,1,1,0
cell_835,-14426.8986720029,-1468.62852464981,10,15,12,17,17,14,15,9,14,1
cell_3319,-7638.89867200291,-1470.62852464981,7,4,6,13,7,5,6,5,5,6
cell_5961,232.10132799709,-1470.62852464981,1,11,10,9,10,2,12,1,1,0
cell_10101,12002.1013279971,-1510.62852464981,12,12,11,13,11,2,2,1,15,17
cell_3348,-7553.89867200291,-1471.62852464981,7,4,6,13,7,5,6,5,5,6
cell_5826,54.1013279970903,-1571.62852464981,0,14,14,14,12,3,9,2,2,14
cell_7602,5058.10132799709,-1549.62852464981,1,0,2,0,0,0,12,0,0,7
cell_9127,9496.10132799709,-1554.62852464981,6,12,11,7,7,2,2,1,1,0
cell_5100,-1966.89867200291,-1566.62852464981,12,11,11,9,11,2,2,1,1,0
cell_7499,4723.10132799709,-1534.62852464981,12,11,10,9,12,2,12,1,1,0
cell_8576,7983.10132799709,-1593.62852464981,6,14,14,14,12,3,9,2,13,14
cell_11428,15098.1013279971,-1570.62852464981,12,0,2,13,11,2,2,1,1,0
cell_4402,-4130.89867200291,-1531.62852464981,12,11,10,9,10,2,2,1,1,0
cell_10749,13549.1013279971,-1576.62852464981,0,14,14,9,10,3,9,2,2,0
cell_10877,13856.1013279971,-1603.62852464981,12,12,11,13,11,2,2,0,1,0
cell_3261,-7795.89867200291,-1471.62852464981,7,4,6,6,11,5,6,5,5,6
cell_2019,-11355.8986720029,-1642.62852464981,11,8,8,6,9,1,0,11,10,8
cell_2432,-10264.8986720029,-1578.62852464981,1,0,2,10,9,0,1,0,0,8
cell_9747,11242.1013279971,-1667.62852464981,3,13,13,5,15,8,5,4,4,13
cell_2804,-9144.89867200291,-1557.62852464981,7,4,6,6,5,5,6,5,5,3
cell_11556,15343.1013279971,-1488.62852464981,12,11,10,9,10,2,12,0,15,0
cell_5402,-1095.89867200291,-1656.62852464981,4,7,7,5,6,8,3,3,3,11
cell_8686,8258.10132799709,-1584.62852464981,0,14,14,14,12,3,9,2,13,14
cell_9707,10993.1013279971,-1555.62852464981,1,0,2,0,0,0,1,0,0,7
cell_3430,-7321.89867200291,-1495.62852464981,7,4,6,6,5,5,6,5,5,6
cell_4749,-3065.89867200291,-1518.62852464981,1,11,10,9,10,2,2,1,1,0
cell_3751,-6217.89867200291,-1615.62852464981,9,0,2,10,9,0,1,0,0,8
cell_11210,14576.1013279971,-1545.62852464981,12,11,10,9,10,2,12,1,1,0
cell_7913,5886.10132799709,-1562.62852464981,3,1,0,11,13,10,5,4,4,12
cell_10338,12539.1013279971,-1573.62852464981,9,1,0,12,14,9,11,17,18,9
cell_2718,-9374.89867200291,-1568.62852464981,7,4,6,6,0,5,6,5,5,3
cell_9643,10831.1013279971,-1542.62852464981,12,0,2,13,11,2,1,0,0,7
cell_6787,2666.10132799709,-1688.62852464981,4,7,7,5,15,8,3,3,3,13
cell_2602,-9717.89867200291,-1619.62852464981,11,8,8,10,9,1,0,0,0,8
cell_9261,9835.10132799709,-1541.62852464981,1,1,0,0,0,0,1,0,0,7
cell_7427,4462.10132799709,-1500.62852464981,13,1,0,11,13,10,5,4,4,12
cell_11522,15370.1013279971,-1603.62852464981,12,11,10,9,10,2,12,0,15,0
cell_4189,-4855.89867200291,-1621.62852464981,6,12,11,13,7,11,10,10,1,14
cell_1052,-13923.8986720029,-1631.62852464981,6,6,4,7,7,11,2,1,7,3
cell_3911,-5691.89867200291,-1590.62852464981,12,11,10,9,10,2,2,1,1,7
cell_8440,7492.10132799709,-1517.62852464981,1,0,2,0,0,0,1,0,0,8
cell_10014,11722.1013279971,-1600.62852464981,1,11,10,9,10,2,12,1,1,0
cell_4465,-3863.89867200291,-1652.62852464981,0,14,14,14,12,3,9,2,2,14
cell_4712,-3125.89867200291,-1657.62852464981,12,0,2,0,11,2,2,1,1,0
cell_3201,-7896.89867200291,-1648.62852464981,7,4,6,7,7,5,6,5,5,6
cell_6149,744.10132799709,-1527.62852464981,1,0,2,9,10,2,12,1,1,0
cell_11393,14962.1013279971,-1620.62852464981,1,0,2,0,0,2,2,1,1,0
cell_3253,-7764.89867200291,-1597.62852464981,7,4,6,7,7,5,6,5,5,6
cell_3418,-7256.89867200291,-1620.62852464981,7,4,8,8,8,5,6,5,10,3
cell_3138,-8076.89867200291,-1616.62852464981,7,4,6,6,11,5,6,5,5,6
cell_5004,-2277.89867200291,-1640.62852464981,0,14,14,14,12,3,9,2,2,14
cell_8055,6414.10132799709,-1633.62852464981,12,12,11,13,11,2,2,1,1,0
cell_7447,4526.10132799709,-1537.62852464981,13,1,0,11,13,10,5,4,4,12
cell_10086,12009.1013279971,-1677.62852464981,6,14,14,7,7,2,2,1,15,17
cell_180,-15978.8986720029,-1639.62852464981,1,0,2,0,0,0,1,0,0,7
cell_6351,1272.10132799709,-1663.62852464981,12,12,11,13,11,2,2,1,1,0
cell_8292,7119.10132799709,-1678.62852464981,0,14,14,14,12,3,9,2,2,14
cell_6981,3174.10132799709,-1635.62852464981,12,0,2,13,11,2,12,1,1,0
cell_6007,443.10132799709,-1658.62852464981,0,14,14,14,12,3,12,2,2,0
cell_3320,-7567.89867200291,-1627.62852464981,7,4,6,6,11,5,6,5,5,6
cell_10593,13141.1013279971,-1630.62852464981,12,0,2,13,11,10,5,4,4,12
cell_3466,-7055.89867200291,-1717.62852464981,3,7,7,15,6,10,5,4,4,9
cell_7619,5116.10132799709,-1698.62852464981,0,11,10,9,10,0,12,0,1,8
cell_11101,14373.1013279971,-1640.62852464981,1,0,2,9,10,2,12,1,1,0
cell_8163,6811.10132799709,-1636.62852464981,1,11,10,9,10,2,12,1,1,0
cell_2849,-8972.89867200291,-1789.62852464981,7,4,8,6,11,5,6,5,5,3
cell_9254,9851.10132799709,-1690.62852464981,1,11,10,9,10,2,12,1,1,0
cell_9956,11613.1013279971,-1673.62852464981,0,14,14,14,12,3,9,2,1,17
cell_2681,-9554.89867200291,-1654.62852464981,1,8,2,0,0,1,0,0,0,8
cell_11177,14563.1013279971,-1698.62852464981,12,12,11,13,11,2,2,1,1,0
cell_10811,13722.1013279971,-1676.62852464981,12,12,11,13,11,2,2,1,1,0
cell_8450,7551.10132799709,-1623.62852464981,1,0,2,0,0,0,1,0,0,7
cell_1213,-13555.8986720029,-1679.62852464981,1,0,2,0,0,2,2,9,1,1
cell_2765,-9218.89867200291,-1671.62852464981,7,4,6,1,7,5,6,5,5,6
cell_6995,3305.10132799709,-1842.62852464981,0,14,14,14,12,3,9,2,13,14
cell_4398,-4156.89867200291,-1688.62852464981,12,11,10,9,11,2,2,1,1,0
cell_9008,9172.10132799709,-1739.62852464981,12,11,10,9,10,2,12,1,1,0
cell_1438,-13015.8986720029,-1729.62852464981,9,0,2,10,9,0,1,0,0,8
cell_10431,12713.1013279971,-1648.62852464981,1,0,2,0,9,9,11,0,0,12
cell_8414,7427.10132799709,-1766.62852464981,1,11,10,9,10,2,12,1,1,0
cell_10657,13322.1013279971,-1732.62852464981,12,0,2,0,0,2,2,0,0,8
cell_2411,-10340.8986720029,-1812.62852464981,7,4,4,6,11,5,6,5,5,8
cell_2452,-10211.8986720029,-1754.62852464981,7,4,6,10,9,5,6,5,5,8
cell_2903,-8876.89867200291,-1688.62852464981,1,0,2,0,11,1,0,11,10,7
cell_8763,8471.10132799709,-1788.62852464981,0,14,14,14,12,3,9,2,2,14
cell_4172,-4977.89867200291,-1726.62852464981,12,11,10,9,10,3,2,2,2,14
cell_6221,1008.10132799709,-1757.62852464981,12,12,2,13,11,11,2,10,1,0
cell_6152,809.10132799709,-1817.62852464981,6,6,4,7,7,11,10,10,13,14
cell_11301,14852.1013279971,-1772.62852464981,12,11,10,9,10,2,2,2,13,14
cell_3919,-5681.89867200291,-1711.62852464981,12,0,2,0,11,2,12,0,0,7
cell_10333,12448.1013279971,-1740.62852464981,1,0,2,0,0,0,1,0,0,7
cell_5538,-865.89867200291,-1774.62852464981,6,14,14,14,12,3,9,2,2,14
cell_10391,12589.1013279971,-1714.62852464981,1,10,9,0,0,0,1,0,0,7
cell_4848,-2696.89867200291,-1826.62852464981,6,14,14,14,12,3,9,2,13,14
cell_8911,8893.10132799709,-1745.62852464981,12,11,10,9,10,2,2,1,1,0
cell_4996,-2343.89867200291,-1808.62852464981,12,11,10,9,10,3,2,2,2,0
cell_5104,-1989.89867200291,-1740.62852464981,6,6,4,7,7,11,10,10,1,0
cell_10953,14035.1013279971,-1766.62852464981,3,1,0,11,13,10,5,4,4,13
cell_11038,14232.1013279971,-1746.62852464981,12,11,10,11,10,10,5,4,4,12
cell_10533,13064.1013279971,-1820.62852464981,4,7,7,5,6,8,3,3,3,13
cell_4470,-3989.89867200291,-1740.62852464981,0,14,14,14,12,3,9,2,2,14
cell_3788,-6133.89867200291,-1719.62852464981,1,1,0,11,13,0,1,0,0,7
cell_4376,-4309.89867200291,-1807.62852464981,1,0,2,0,0,2,12,1,0,7
cell_5602,-662.89867200291,-1808.62852464981,6,14,14,14,12,11,9,2,13,14
cell_5898,152.10132799709,-1743.62852464981,0,14,14,14,12,3,9,2,2,14
cell_6973,3167.10132799709,-1779.62852464981,12,11,10,9,10,3,9,2,2,17
cell_11614,15572.1013279971,-1832.62852464981,12,11,2,9,0,2,12,0,1,0
cell_6506,1734.10132799709,-1886.62852464981,12,12,11,13,11,2,2,1,1,0
cell_9672,10983.1013279971,-1821.62852464981,1,11,10,9,10,10,2,4,1,12
cell_2682,-9492.89867200291,-1807.62852464981,7,4,4,6,11,5,6,5,10,8
cell_3179,-7977.89867200291,-1782.62852464981,7,4,6,7,7,5,6,5,5,6
cell_8186,6794.10132799709,-1773.62852464981,1,0,2,9,10,2,12,1,1,0
cell_480,-15387.8986720029,-1782.62852464981,2,8,8,6,5,2,2,1,10,3
cell_10840,13832.1013279971,-1815.62852464981,6,6,4,7,7,2,2,1,15,17
