,x,y,0728_pred_0.5_16,0728_pred_0.5_17,0728_pred_0.5_18,0728_pred_0.5_19,0728_pred_0.5_20,0728_pred_1_16,0728_pred_1_17,0728_pred_1_18,0728_pred_1_19,0728_pred_1_20
cell_7973,6156.10132799709,10929.3714753502,11,8,8,6,5,1,0,11,10,3
cell_4531,-3708.89867200291,10847.3714753502,9,9,12,8,8,1,0,9,9,1
cell_4666,-3319.89867200291,10889.3714753502,10,9,12,8,8,1,0,9,9,1
cell_2745,-9297.89867200291,10874.3714753502,10,9,12,8,8,1,0,9,9,1
cell_10241,12268.1013279971,10914.3714753502,10,9,12,8,8,1,0,9,9,1
cell_3770,-6156.89867200291,10875.3714753502,2,2,1,1,1,4,4,6,7,10
cell_5382,-1244.89867200291,10877.3714753502,11,8,8,6,5,1,0,11,10,3
cell_7130,3719.10132799709,10828.3714753502,4,7,7,5,6,8,3,3,3,13
cell_8694,8253.10132799709,10872.3714753502,1,0,2,0,0,1,0,11,0,7
cell_6815,2673.10132799709,10876.3714753502,2,2,1,1,1,4,4,6,10,10
cell_11015,14310.1013279971,11017.3714753502,10,9,12,8,8,1,0,9,9,1
cell_5140,-1829.89867200291,10832.3714753502,11,8,8,6,5,1,0,11,10,3
cell_5493,-989.89867200291,10898.3714753502,11,8,8,6,5,1,0,11,10,3
cell_1123,-13638.8986720029,10887.3714753502,4,7,7,15,19,8,3,3,18,11
cell_3618,-6611.89867200291,10888.3714753502,9,9,12,8,8,1,0,9,9,1
cell_1804,-12046.8986720029,10964.3714753502,13,1,0,12,19,9,11,17,18,20
cell_2911,-8841.89867200291,10846.3714753502,15,3,3,3,3,6,7,7,8,5
cell_4794,-2878.89867200291,10864.3714753502,11,0,2,8,0,1,0,11,10,3
cell_2980,-8534.89867200291,10850.3714753502,15,3,3,3,3,6,7,7,8,5
cell_3436,-7275.89867200291,10930.3714753502,5,3,3,3,3,6,7,7,8,5
cell_404,-15480.8986720029,10807.3714753502,1,0,2,0,0,0,1,0,0,8
cell_5683,-418.89867200291,10889.3714753502,11,0,2,0,0,0,1,0,0,8
cell_10999,14131.1013279971,10794.3714753502,14,15,16,17,17,14,15,14,14,19
cell_3330,-7549.89867200291,10869.3714753502,15,3,3,3,3,6,7,7,8,5
cell_1537,-12656.8986720029,10778.3714753502,13,1,0,12,14,9,11,12,11,20
cell_2057,-11298.8986720029,10785.3714753502,1,0,2,0,0,1,0,11,10,7
cell_7478,4711.10132799709,10770.3714753502,11,8,8,8,5,1,0,11,10,3
cell_1391,-13096.8986720029,10848.3714753502,4,7,13,11,6,8,3,12,11,11
